ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,S-N-G-No,N-G-No-Time1_1,N-G-No-Time1_2,N-G-No-Time1_3,N-G-No-Time1_4,T-N-G-No,N-G-No-Time2_1,N-G-No-Time2_2,N-G-No-Time2_3,N-G-No-Time2_4,G-N-G-No,N-G-No-Time3_1,N-G-No-Time3_2,N-G-No-Time3_3,N-G-No-Time3_4,S-N-B-No,N-B-No-Time1_1,N-B-No-Time1_2,N-B-No-Time1_3,N-B-No-Time1_4,T-N-B-No,N-B-No-Time2_1,N-B-No-Time2_2,N-B-No-Time2_3,N-B-No-Time2_4,G-N-B-No,N-B-No-Time3_1,N-B-No-Time3_2,N-B-No-Time3_3,N-B-No-Time3_4,S-N-G-Ms,N-G-Ms-Time1_1,N-G-Ms-Time1_2,N-G-Ms-Time1_3,N-G-Ms-Time1_4,T-N-G-Ms,N-G-Ms-Time2_1,N-G-Ms-Time2_2,N-G-Ms-Time2_3,N-G-Ms-Time2_4,G-N-G-Ms,N-G-Ms-Time3_1,N-G-Ms-Time3_2,N-G-Ms-Time3_3,N-G-Ms-Time3_4,S-N-B-Ms,N-B-Ms-Time1_1,N-B-Ms-Time1_2,N-B-Ms-Time1_3,N-B-Ms-Time1_4,T-N-B-Ms,N-B-Ms-Time2_1,N-B-Ms-Time2_2,N-B-Ms-Time2_3,N-B-Ms-Time2_4,G-N-B-Ms,Q90_1,Q90_2,Q90_3,Q90_4,S-M-G-No,M-G-No-Time1_1,M-G-No-Time1_2,M-G-No-Time1_3,M-G-No-Time1_4,T-M-G-No,M-G-No-Time2_1,M-G-No-Time2_2,M-G-No-Time2_3,M-G-No-Time2_4,G-M-G-No,M-G-No-Time3_1,M-G-No-Time3_2,M-G-No-Time3_3,M-G-No-Time3_4,S-M-B-No,M-B-No-Time1_1,M-B-No-Time1_2,M-B-No-Time1_3,M-B-No-Time1_4,T-M-B-No,M-B-No-Time2_1,M-B-No-Time2_2,M-B-No-Time2_3,M-B-No-Time2_4,G-M-B-No,M-B-No-Time3_1,M-B-No-Time3_2,M-B-No-Time3_3,M-B-No-Time3_4,S-M-G-Ms,M-G-Ms-Time1_1,M-G-Ms-Time1_2,M-G-Ms-Time1_3,M-G-Ms-Time1_4,T-M-G-Ms,M-G-Ms-Time2_1,M-G-Ms-Time2_2,M-G-Ms-Time2_3,M-G-Ms-Time2_4,G-M-G-Ms,M-G-Ms-Time3_1,M-G-Ms-Time3_2,M-G-Ms-Time3_3,M-G-Ms-Time3_4,S-M-B-Ms,M-B-Ms-Time1_1,M-B-Ms-Time1_2,M-B-Ms-Time1_3,M-B-Ms-Time1_4,T-M-B-Ms,M-B-Ms-Time2_1,M-B-Ms-Time2_2,M-B-Ms-Time2_3,M-B-Ms-Time2_4,G-M-B-Ms,M-B-Ms-Time3_1,M-B-Ms-Time3_2,M-B-Ms-Time3_3,M-B-Ms-Time3_4,DemoInstr,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_14,DO-BL-Non-moral-Good-Nomentalstates,DO-BL-Non-moral-Bad-Nomentalstates,DO-BL-Non-moral-Good-Mentalstates,DO-BL-Non-moral-Bad-Mentalstates,DO-BL-Moral-Good-Nomentalstates,DO-BL-Moral-Bad-Nomentalstates,DO-BL-Moral-Good-Mentalstates,DO-BL-Moral-Bad-Mentalstates,LocationLatitude,LocationLongitude,LocationAccuracy
R_6A0kkX0EnqNb745,Default Response Set,Anonymous,,,71.89.131.234,0,8/15/2016 14:20,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.099,1.099,5.021,1,2,15.059,15.059,16.122,1,5,22.034,25.026,27.323,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,5,,4,7,Non-moral - Bad - Mental states,,,,G-N-B-Ms|N-B-Ms-Time1|S-N-B-Ms|N-B-Ms-Time2|T-N-B-Ms|Q90,,,,,44.61720276,-86.18199921,-1
R_25B1STr1Dg9aRP0,Default Response Set,Anonymous,,,68.81.27.169,0,8/15/2016 14:20,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25.153,25.153,26.154,1,6,8.876,9.341,12.704,2,6,1.992,2.764,3.975,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,4,,2,6,Non-moral - Good - Mental states,,,T-N-G-Ms|N-G-Ms-Time1|S-N-G-Ms|N-G-Ms-Time2|G-N-G-Ms|N-G-Ms-Time3,,,,,,40.021698,-75.05180359,-1
R_smVEx3r9sE0JAUp,Default Response Set,Anonymous,,,69.144.244.143,0,8/15/2016 14:20,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15.785,15.785,22.517,1,4,6.686,6.686,9.227,1,5,54.265,55.173,56.726,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,5,,4,6,Moral - Good - No mental states,,,,,G-M-G-No|M-G-No-Time1|T-M-G-No|M-G-No-Time2|S-M-G-No|M-G-No-Time3,,,,37.45089722,-107.8488007,-1
R_25moTl7Egb96tk5,Default Response Set,Anonymous,,,71.74.125.51,0,8/15/2016 14:20,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43.166,43.166,44.505,1,5,26.232,26.591,27.433,2,2,19.317,22.123,22.902,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,5,,5,8,Moral - Bad - No mental states,,,,,,T-M-B-No|M-B-No-Time1|G-M-B-No|M-B-No-Time2|S-M-B-No|M-B-No-Time3,,,41.9703064,-80.3125,-1
R_23VmPNqQ47ZbC5D,Default Response Set,Anonymous,,,73.233.217.107,0,8/15/2016 14:20,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.616,38.477,40.265,2,6,2.08,8.858,10.295,2,6,2.018,11.517,12.493,2,,29,2,3,,6,6,Moral - Bad - Mental states,,,,,,,,S-M-B-Ms|M-B-Ms-Time1|T-M-B-Ms|M-B-Ms-Time2|G-M-B-Ms|M-B-Ms-Time3,40.03619385,-75.51380157,-1
R_eDxBczJiVh6763T,Default Response Set,Anonymous,,,98.94.53.247,0,8/15/2016 14:19,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.532,3.532,4.421,1,7,9.023,9.023,9.684,1,5,114.771,114.771,115.652,1,,25,1,5,,2,6,Moral - Bad - Mental states,,,,,,,,S-M-B-Ms|M-B-Ms-Time1|G-M-B-Ms|M-B-Ms-Time2|T-M-B-Ms|M-B-Ms-Time3,33.44830322,-81.69210052,-1
R_324OELnI7PIR5sF,Default Response Set,Anonymous,,,216.211.187.114,0,8/15/2016 14:20,8/15/2016 14:22,1,1,4,8.026,14.955,17.064,4,5,8.175,9.707,11.005,3,6,6.822,7.297,8.875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,5,,5,7,Non-moral - Good - No mental states,T-N-G-No|N-G-No-Time1|S-N-G-No|N-G-No-Time2|G-N-G-No|N-G-No-Time3,,,,,,,,48.19869995,-114.3856964,-1
R_2q7AWocCIUEwzfG,Default Response Set,Anonymous,,,50.186.221.215,0,8/15/2016 14:20,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22.557,22.557,36.284,1,7,10.025,10.643,17.191,2,7,3.532,3.532,15.028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,1,,4,9,Non-moral - Bad - Mental states,,,,S-N-B-Ms|N-B-Ms-Time1|T-N-B-Ms|N-B-Ms-Time2|G-N-B-Ms|Q90,,,,,26.52819824,-80.08429718,-1
R_2qEEDM51B2Lnz5r,Default Response Set,Anonymous,,,75.131.140.77,0,8/15/2016 14:20,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27.394,27.394,29.167,1,7,21.675,21.675,22.872,1,7,18.127,18.127,20.315,1,,,,,,,,,,,,,,,,,37,2,4,,5,7,Moral - Good - Mental states,,,,,,,S-M-G-Ms|M-G-Ms-Time1|T-M-G-Ms|M-G-Ms-Time2|G-M-G-Ms|M-G-Ms-Time3,,30.3598938,-90.04869843,-1
R_4JCA50rc4pnfglz,Default Response Set,Anonymous,,,173.65.76.90,0,8/15/2016 14:20,8/15/2016 14:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.619,26.619,27.64,1,4,15.894,15.894,17.014,1,1,58.015,66.516,67.402,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1,5,,4,4,Moral - Bad - No mental states,,,,,,S-M-B-No|M-B-No-Time1|G-M-B-No|M-B-No-Time2|T-M-B-No|M-B-No-Time3,,,27.86610413,-82.32649994,-1
